;Texto;Valor
51;Democracia não é só o voto, mas tudo que envolve a escolha dele, inclusive os debates, o candidato que não vai a debates não tem respeito pela democracia.;1
52;Meus pais juntinhos assistindo a entrevista do Presidente.;1
53;Hoje sai para as ruas com minha capa #AgoraÉCiro , fui voar pelo centro de SP,conversar com as pessoas e voltei emocionada com a quantidade de abordagens positivas e de eleitores de Ciro! Acreditem! Militem! Lutem! Não Desistam! CIRO GOMES SERÁ O PRÓXIMO PRESIDENTE DO BRASIL;1
54;Ciro me representa! Esta insatisfação, raiva e repulsa pelo absurdo do consignado do Auxilio Brasil é prova do quão ele ama este país, este povo! Melhor candidato é Ciro. Não tem outro! #CIROGAMES;1
55;NÃO ESQUECER: Tão importante quanto eleger Lula presidente é eleger deputados e senadores comprometidos com o projeto de reconstrução do Brasil que Lula defende. Faltam 62 dias...;1
56;É frustrante saber que somos obrigados a decidir as eleições entre apenas 2 candidatos. Votar no Lula na minha opinião é um retrocesso, porém infelizmente é a única forma de tirar o capiroto do poder, acho que deveríamos dá oportunidade a um novo candidato. Eu iria de Ciro.;1
57;Tem uma galera que está achando graça a gente comemorar que está pontuando na primeira pesquisa no início das eleições e não tem ideia do que é fazer uma campanha só com trabalho militante, sem fundo partidário, sem profissionalizar todos os setores.;1
58;Sinceramente: nunca vi um presidente levar em público um esporro tão escandaloso. Sem que que seu nome tenha sido citado.  Mas foi pra ele.;1
59;Esse é o resultado da entrevista do presidente Bolsonaro ontem. O pior cego é aquele que não quer enxergar. Uol elogiando é porque foi bom mesmo!;1
60;Achou que a pandemia ficou pra trás e não vai ser importante nas eleições? ACHOU ERRADO, OTÁRIO Todo mundo sabe o que foi Todo mundo lembra E, pra quem não lembra, a campanha vai refrescar a memória NÃO ESQUECEREMOS;1
61;Olha aí o amigão do Lula, o candidato mais democrata do Brasil de acordo com a imprensa.;1
62;Noooooo @GugaNoblat você viu como o seu candidato do coração falou do seu paizinho querido?ah eu não deixaria isso barato, que horror!!;1
63;Min. Fachin negou pedido do Ministério da Defesa de acesso a documentos de eleições passadas. Saber como foi é essencial para prevenir. Pelo art. 37 da Constituição deveriam ser públicos para todos os brasileiros. Me faz lembrar motorista que se recusa a soprar no bafômetro.;1
64;Ciro Gomes será o próximo presidente do Brasil!;1
