;Texto;Valor
0;Candidato é o caralh@! Jair Bolsonaro é o Presidente da República!;0
1;URGENTE: VICE- PGR volta a pedir que o STF arquive o inquérito que apura se o Presidente Jair Bolsonaro vazou dados sigilosos de uma investigação da PF que apura suposto ataque ao sistema interno do TSE.;0
2; RADICALISMO NO 7 DE SETEMBRO A inteligência militar detectou a possibilidade de movimentos mais radicais de apoio ao presidente Jair Bolsonaro tentarem se infiltrar no desfile de 7 de Setembro no Rio de Janeiro para provocar tumulto e defender a intervenção militar no País.;0
3;O DESCONDENADO ATACA NOVAMENTE O ex-presidiário e queridinho das feministas endossa a violência contra a mulher! Enquanto isso o presidente Bolsonaro, chamado de forma mentirosa de “machista”, já sancionou mais de 70 leis em favor das mulheres. É fácil escolher o lado certo!;0
4;Bolsonaro é o presidente mais protegido pelos editores e patrões dos meios de comunicação.;0
5;Alguém avisa o Poste que o Presidente Bolsonaro vetou e o PT votou para aprovar.;0
6;que legal essa ideia da band de misturar candidatos reais com fictícios. so achei q podiam ter inventado nomes mais criveis, ngm se chamaria soraya thronicke;0
7;Renata Vasconcellos perguntou no início se Jair Bolsonaro se arrepende de ter debochado dos mortos pela Covid. Presidente não respondeu. #Eleições2022;0
8;O @RicaPerrone lavou nossa alma aqui nesse comentário sobre a Fake News da imprensa contra o presidente @jairbolsonaro .;0
9;#AOVIVO Jair Bolsonaro (PL) responde a pergunta sobre pandemia #JN  Acompanhe a cobertura: http://glo.bo/3PChZtj #JornalNacional #BolsonaroNoJN #Eleições;0
10;Nosso presidente Bolsonaro sendo recebido com o carinho que ele merece!;0
11; Moraes envia a PGR pedido para indiciar o Presidente Bolsonaro. Impressionante a Perseguição ao nosso Presidente.;0
12;Dizem que 55% das publicações pró-Bolsonaro são feitas por robôs. Se você apoia o presidente Bolsonaro e não é um robô , RT, curte e comenta 22!;0
13;corpo no abismo, coração no paraíso, xie lian para presidente, hua cheng de vice mu qing e feng xin vereadores;0
14;Parece notícia venha, mas ABAIXOU DE NOVO #Brasil #Presidente #Bolsonaro #tmj;0
15;Jair Messias Bolsonaro em Belo Horizonte -  24/08/2022 -  O presidente mais popular da história do Brasil. Forças Armadas Defesa 7 de setembro;0
16;IMPACTANTE! Presidente da Confederação da Agricultura (CNA) faz discurso forte contra a volta do Lula;0
17;"""Espero que a sociedade brasileira aprenda nessas eleições: o congresso é resultado da consciência da sociedade. Não votem com rancor, votem com consciência."" (Lula) #JN";0
18;Esse é o Ex Técnico da Seleção Brasileira de Futebol mandando seu recado para o Presidente Jair Messias Bolsonaro;0
19;"TV espanhola enaltecendo o Presidente BOLSONARO; O mundo clama por mais governantes idôneos. Nos os verdadeiros Patriotas valorizamos o nosso! #BolsonaroNoPrimeiroTurno #BolsonaroNoIronberg #BolsonaroNoPanico #BolsonaroReeleitoEm2022 #Bolsonaro2022 #Sdv";0
20;"""Não tenho medo de perder as eleições numa democracia, tenho medo de perder a democracia numa eleição"". Presidente Jair Bolsonaro.";0
21;É de arrepiar! Esse é o vídeo que o Presidente sempre fala, inclusive citou ele no Flow. Prestem atenção nas palavras dele. Faz tempo que o Bolsonaro se prepara para salvar o Brasil. Valorizem esse homem! Não podemos nos acovardar. Devemos lealdade ao Presidente. (Novembro/2014);0
22;Agradecido Presidente!;1
23;Eu apoio meu Presidente;1
24;Programa Eleitoral - Presidente - Lula - Noite - 30/08/2022;1
25;Ouçam com atenção..quem vota no Presidente aplaude;1
26;Presidente hoje na Marcha para Jesus em Recife/PE. 06/08/2022 Nordeste é Bolsonaro, vai ser no 1º turno!;1
27;Parabéns Presidente;1
28;Presidente é ovacionado ao discursar no Parque de Exposições João Alencar Athayde em Montes Claros/MG. 05/08/2022;1
29;Imagem linda!! Amo o meu Presidente!! Orgulho!! Montes Claros MG 06/08/22;1
30;Esse é o Brasil que queremos com Lula presidente. Obrigado por nos inspirar @pejulio;1
31;José Maria Trindade coloca os pingos nos is, sobre o grau de engajamento, entre Lula e o Presidente Bolsonaro. #BolsonaroReeleitoEm2022;1
32;Amanhã o presidente Lula estará no Jornal Nacional. Você irá assistir? #LulaNoJN;1
33; Presidente se emocionou ao falar sobre a doença #BolsonaroNoFlow;1
34;Rica fez uma resenha no canal dele contando sobre a entrevista com o Presidente, peguei essa parte ele dando a opinião sobre a notícia canalha q saiu ontem… https://youtu.be/L5JRu3G4dY0;1
35;Como é bom ouvir um PRESIDENTE falar, chega a dar um alivio neh? @LulaOficial #LulaNoJN;1
36;Morei no exterior durante anos mas escolhi voltar ao Brasil. Sabe por que? porque eu amo o meu país! Não existe lugar melhor para viver. Eu escolhi lutar pela minha pátria ao lado do presidente Bolsonaro.;2
37;4 meses para o final do ano e temos eleições. Talvez, seja a primeira vez que influenciadores novos irão presenciar vários debates dos candidatos de fato e a opinião de um influencer pode ajudar ou trazer desinformação. Muito cuidado e responsabilidade sobre o alcance.;2
38;Sem esquecer o abaixo-assinado ano passado pelo impeachment de Alexandre de Moraes teve mais de 2 milhões de assinaturas. A iniciativa foi do comentarista Caio Coppolla. Porém o presidente do Senado, Rodrigo Pacheco (DEM-MG), cagou pra todo mundo!;2
39;Piperno acusando o Presidente de tentar prejudica-lo na emissora. Mas qual vítima não gostaria de ver o criminoso sendo punido. Fake News é crime!! Jornalista tem imunidade absoluta? https://twitter.com/Jeffers17486732/status/1559321354721173511/video/1…;2
40;Alexandre de Moraes, em discurso ao lado do Presidente Jair Bolsonaro, fala em não admitir discurso de Ódio nas eleições. Ou seja, o discurso é bonito, válido, porém ele só persegue um lado… ao que tudo indica o Ódio do bem tudo bem. E dá indireta no caso do dep. Daniel Silveira;2
41;Ninguém: a Candidatos de PE: “ei doido” “simbora”, “tu tá ligado” “botou quente” *som de passinho ao fundo*;2
42;DIREITA FORTE - O PRESIDENTE FAZ O BEM - 05 A imprensa OMITE e só fala mal do Gov Bolsonaro MAS estamos aqui p divulgar  a VERDADE e o qto nosso Pr é proativo e eficaz tendo como apoio sua equipe Ministerial. BOLSONARO HOMEM QUE FAZ! #DireitaForte #CapitaoDoPovo;2
43;"""Liberdade de expressão não é liberdade de agressão"" - Alexandre Moraes, presidente do Tribunal Superior Eleitoral e ministro do Supremo Tribunal Federal";2
44;o futuro presidente de 2060 está nesse momento decidindo se compensa comrpar aquele pod com 1000 puffs na promo;2
45;A Polícia Federal afirmou ao Supremo Tribunal Federal ter concluído que o presidente Jair Bolsonaro praticou incitação ao crime ao associar, no ano passado, a vacina contra a Covid com risco de contrair Aids: http://glo.bo/3SVBiR3 #JN;2
46;Na escalada do JN nenhuma palavra sobre os apartamentos comprados com dinheiro vivo pelo presidente e sua família.;2
