;Texto;Valor
0;Programa Eleitoral - Presidente - Lula - Noite - 30/08/2022;0
1;Presidente hoje na Marcha para Jesus em Recife/PE. 06/08/2022 Nordeste é Bolsonaro, vai ser no 1º turno!;0
2;Presidente é ovacionado ao discursar no Parque de Exposições João Alencar Athayde em Montes Claros/MG. 05/08/2022;0
3;Imagem linda!! Amo o meu Presidente!! Orgulho!! Montes Claros MG 06/08/22;0
4;Agradecido Presidente!;1
5;Eu apoio meu Presidente;1
6;Parabéns Presidente;1
7; Presidente se emocionou ao falar sobre a doença #BolsonaroNoFlow;1
8;Rica fez uma resenha no canal dele contando sobre a entrevista com o Presidente, peguei essa parte ele dando a opinião sobre a notícia canalha q saiu ontem… https://youtu.be/L5JRu3G4dY0;1
9;Como é bom ouvir um PRESIDENTE falar, chega a dar um alivio neh? @LulaOficial #LulaNoJN;1
10;Ouçam com atenção..quem vota no Presidente aplaude;2
11;Esse é o Brasil que queremos com Lula presidente. Obrigado por nos inspirar @pejulio;2
12;José Maria Trindade coloca os pingos nos is, sobre o grau de engajamento, entre Lula e o Presidente Bolsonaro. #BolsonaroReeleitoEm2022;2
13;Amanhã o presidente Lula estará no Jornal Nacional. Você irá assistir? #LulaNoJN;2
