;Texto;Valor
0;Presidente, por quê o senhor colocou sigilo de 100 anos em assuntos públicos, que é de satisfação pra sociedade? Como confiar?;0
1;Desejou o destino, e a cronologia de antiguidade do TSE, que Moraes fosse o presidente nas eleições de 2022.;0
2;" Alexandre de Moraes, presidente do TSE: ""Liberdade de expressão não é liberdade de agressão, da destruição da democracia, das instituições, da dignidade e de honras alheias. Liberdade de expressão não é liberdade de propagação de discursos de ódio e preconceituosos"".";0
3;ARREGOU! Bolsonaro na live de hoje não falou novamente do 7/9, TSE, eleições, exército ou transparência. Falou de jetski, gamers, peixe e radar! A Carta da Democracia murchou as falas golpistas do pigmeu político que ocupa a Presidência! Agora, só a derrota parece uma realidade!;0
4;Na sexta feira eu falei sobre a interferência de uma empresa chinesa, de Wuhan, nas eleições americanas, a Konnech. Agora há provas de que esta empresa também estava ligada a Huawei. Além dos EUA eles estão envolvidos em eleições na Austrália e Canadá. Brasileiros, fiquem atentos;0
5;Sou estudiosa da política de drogas há + de 15 anos e escrevi uma tese de doutorado sobre a legalização das drogas. Devo dizer que certo está o presidente da Colômbia, que reconheceu o fracasso da proibição e defendeu a legalização do plantio de cannabis sem licença. Freixo não.+;0
6;Bolsonaro é o melhor presidente da história: num ato de grandeza, baixou imposto de videogame, jet-ski e whey protein. Revolucionário e patriota;0
7;Parabéns, Presidente @JairBolsonaro! Valorização de importantes profissionais de Saúde, com responsabilidade. Parabéns a todos vocês enfermeiros, técnicos, auxiliares e parteiras que nos são tão preciosos!;0
8;Diz a lenda q quem vence em MG e em SP , ganha as eleições!! Com as bençãos de Deus, parece q o Capito está rleito e nas graças do povo!!;0
9;O agro rachou! “A Coalizão Brasil - Clima, Florestas e Agricultura”, movimento multissetorial e apartidário que reúne mais de 300 representantes de empresas, do agronegócio, setor financeiro, sociedade civil e academia divulgou nota divulga em favor da democracia e das eleições”.;0
10;O presidiário vai buscar apoio em Teresina. Forças do Exército de ar, terra e mar ficaram de sobreaviso para conter a enorme multidão que o recebeu no aeroporto, paralisando a cidade e o Estado. Candidato com 497% de intenção de voto de desjornalista é assim. Fenomeno.;0
11;HILÁRIO! Guga Noblat meio que admite que o Datafolha só acertou na última semana de 2018 o resultado da eleição e a Zoe Martinez não perdoou.;0
12;Prego batido e ponta virada: meu nome foi aprovado na convenção do PL para ser candidato a deputado estadual pelo Ceará. Ao lado de @jairbolsonaro vamos continuar transformando o Nordeste e o Brasil. Rumo à vitória, meu povo!;1
13;ESCÁRNIO Ricardo Coutinho (PT) quando governador da Paraíba recebeu R$ 138 milhões em propinas de empresários da saúde. Tudo filmado e delatado. Ontem, Coutinho e Lula se abraçaram, às gargalhadas. Ele é o candidato de Lula ao Senado. O Brasil não vai aguentar isso de novo.;1
14;Você sabe o que é #BocadeUrna, como funciona e quais são as consequências? Caso se depare com alguém fazendo esse tipo de propaganda eleitoral irregular, saiba o que fazer;1
15;O cara foi condenado por diversos juízes e hoje está em um debate como candidato à presidência da república. Surreal demais!;1
16;Estamos vivendo um passo a passo clássico de um escândalo no RJ. O governador passou o primeiro degrau - abriu uma comissão de auditoria -: o segundo - demitiu o presidente da Ceperj. Terá que convencer a todos que não sabia dos R$ 226 milhões em espécie. +;1
17;Todo cristão deve votar em Lula, pois é o único candidato ungido pelo Papa Chico. Lula é um ser humano solidário, que respeita o próximo, prega o amor. É o candidato que Jesus votaria se estivesse vivo. Vocês imaginam Jesus com uma arma? Debochando de mortos pela covid? Eu não!;1
18;Que fofura, cantando uma música para o candidato @jairbolsonaro;1
19;AGORA É OFICIAL A partir de terça serei candidato a deputado estadual pelo PDT SP. Vamos mudar a cara da ALESP e transformar a política Paulista. Vamos reconstruir o PDT em São Paulo e seremos a vanguarda de uma nova geração de trabalhistas. Juntos, faremos a diferença;1
20;"""É fake news que Lava Jato teve viés político"", diz o ex-chefe da operação que hoje usa a Lava Jato para pedir votos como candidato a deputado e já disse que irá votar em Bolsonaro, o presidente que amordaçou o MPF. Tá certo, então.";1
21;Venho falando, veremos a esquerda fazer o inimaginável pois sabe que se lascou. Um militante esquerdista filmou agredindo verbalmente o presidente Bolsonaro aguardando uma reação violenta que não houve e em desespero fez de tudo para posar de vítima. Próxima treta?;1
22;Minha proposta é transformar a minha eleição não em um voto pessoal, mas num plesbicito programático. Eu vou tentar em todas as ocasiões que eu tiver oportunidade pra que a gente discuta IDEIAS. Com isso eu celebro uma nova cumplicidade com o povo brasileiro.;1
23;Aula do Padre Vandro durante a homilia! Os verdadeiros cristãos não votam em candidatos que defendem pautas que são totalmente contrários aos ensinamentos e vontades de Nosso Senhor Jesus Cristo!;2
24;Os candidatos da esquerda;2
25;Candidato, qual seu papel preferido da Patrícia Pillar?!;2
26;Precisamos divulgar em todos os os grupos a foto em que o freixo , candidato ao governo do Rio, aparece com bandeira do Brasil em vermelho. Vamos fazer tudo para salvar o Rio de Janeiro da ruína.;2
27;DIREITA FORTE E OS CANDIDATOS APOIADOS PELO PRESIDENTE Anotem e divulguem em seu respectivo Estado. #DireitaForte #BolsonaroNoPrimeiroTurno;2
28;Não votem em candidatos desses partidos!;2
29;Atenção pessoal da imprensa: já já iremos disponibilizar uma base de dados com a lista de bens de todos os candidatos e candidatas que estão concorrendo nas eleições de 2022 Entre eles, todos os bens de FABRICIO QUEIROZ em formato de Excel! Por favor, repassem essa mensagem;2
