;Texto;Valor
0;Já estou pronta para apresentar nosso programa e debater com os demais candidatos. ;0
1;Amigos que votam em Ciro e Tebet vamos brincar de VOTO ÚTIL e acabar logo com isso no primeiro turno. Já esta provado que vcs não vão conseguir eleger seus candidatos com todo respeito. Vamos dar PAZ para o Brasil. #votoutil13;0
2;Surreal demais!;0
3;Esse é o nosso presidente. Gente como a gente. Detalhe: NUNCA FOI CONDENADO POR CORRUPÇÃO.  ;0
4;Veja a preparação para o primeiro debate presidencial das Eleições 2022. Todos os candidatos já chegaram à sede da Band em São Paulo. #Eleições2022;0
5;Não votem em candidatos desses partidos! ;0
6;Amanhã estaremos juntos em frente à Band para cobrar democracia nesse processo eleitoral! ;0
7;Ver Educação e Escola como assuntos mais pesquisados quando associados às eleições demonstra o interesse dos brasileiros e brasileiras no assunto. Não tem como candidatos/as correrem de se posicionar! #DebateNaBand;0
8;https://app.vaquinhaeleitoral.com.br/c/arthur-weintraub-pmb…;0
9;Bolsonaro criou o maior programa social que beneficiou 68 milhões de brasileiros. Hoje 20 milhões de pessoas recebem o Auxílio Brasil de R$ 600. E Bolsonaro já garantiu: Auxílio Brasil será mantido enquanto ele for presidente.;0
10;Presidente hoje na Marcha para Jesus em Recife/PE. 06/08/2022;0
11;Candidatos para evitar a todo custo: ;0
12;Concordo com vc Mara:;0
13;Lembrando que ele e @ArthurWeint são candidatos a Dep Federal em SP pelo @Brasil35SP .;0
14;DESCOBRI 3 CANDIDATOS DOS 5 QUE VOCE VAI VOTAR NO DIA DA ELEIÇÃO;0
15;Outra dia perguntei em que galáxia vivem os ministros.;0
16;Em minutos veremos o nosso futuro presidente @LulaOficial no #DebateNaBan. ;0
17;Agora procurem saber quem são os administradores da AVINCO - Associação de Vítimas e Familiares de Vítimas da Covid-19 e a quem estão ligados e se surpreendam.;0
18;Paulo Pimenta na TV GGN: As eleições deste ano e a atual conjuntura política brasileira https://twitter.com/i/broadcasts/1eaJbNaZmnVJX…;0
19;Querem controlar o que os candidatos falarão?;0
20;Candidato a presidente pelo PT participou de Aula Aberta na Universidade de São Paulo (USP) na noite desta segunda-feira (15).;0
21;A esquerda vomita abobrinhas o tempo inteiro ninguém mexe com eles?;0
22;Atenção pessoal da imprensa: já já iremos disponibilizar uma base de dados com a lista de bens de todos os candidatos e candidatas que estão concorrendo nas eleições de 2022;0
23;Amanhã será o lançamento da campanha à reeleição de nosso presidente em Juiz de Fora - MG.;0
24;https://twitter.com/Jeffers17486732/status/1559321354721173511/video/1…;0
25;O sistema coren cofen podia pelo menos usar nosso dinheiro pra fazer comoção nacional na televisão para o presidente aprovar o piso né;0
26;Candidato com 497% de intenção de voto de desjornalista é assim.;0
27;Nosso presidente merece toda honra OLHA COMO ELE NOS REPRESENTA ;0
28;Aula do Padre Vandro durante a homilia! Os verdadeiros cristãos não votam em candidatos que defendem pautas que são totalmente contrários aos ensinamentos e vontades de Nosso Senhor Jesus Cristo!;0
29;O maior Presidente de todos os tempos!;0
30;Mineiros de Juiz de Fora e da zona da Mata dia 16/08 Bolsonaro lançará a sua campanha nessa maravilhosa cidade mineira! vamos todos juntos recepcionar o nosso Presidente e dá o pontapé inicial rumo à Vitória! #BolsonaroEmJuizDeForaPraVencer;0
31;DIREITA FORTE E OS CANDIDATOS APOIADOS PELO PRESIDENTE;0
32;Apresentamos a todos nossos integrantes e público geral nosso candidato a deputado federal nessas eleições.;0
33;Na escalada do JN nenhuma palavra sobre os apartamentos comprados com dinheiro vivo pelo presidente e sua família.;0
34;o futuro presidente de 2060 está nesse momento decidindo se compensa comrpar aquele pod com 1000 puffs na promo;0
35;Apenas 5 meses após eleição o presidente de “esquerda” Gabriel Boric já começa descobrir com o choque de realidade causando queda brutal de popularidade!;0
36;Palmeiras sai de uma sequência contra 3 candidatos diretos com uma boa vantagem! ;0
37;Os candidatos da esquerda ;0
38;TSE está com medo dos técnicos das Forças Armadas terem acesso aos arquivos das eleições de 2014 e 18 . Tem caroço no angu.;0
39;ATLAS (quando os candidatos são apresentados com o partido);0
40;Nosso presidente é um homem de Deus. ;0
41;Foi emocionante assistir de perto o discurso de nosso futuro presidente!!!;0
42;Datafolha (Quando os candidatos são apresentados sem partido);0
43;Min. Fachin negou pedido do Ministério da Defesa de acesso a documentos de eleições passadas. Saber como foi é essencial para prevenir. Pelo art. 37 da Constituição deveriam ser públicos para todos os brasileiros. Me faz lembrar motorista que se recusa a soprar no bafômetro.;0
44;Presidente no Flow tá bom demais.;0
45;Ele acaba de exterminar toda a atual população brasileira e também os que ainda não nascerem. ;0
46;Vamos fazer uma campanha muito forte pra reelegermos o nosso presidente Bolsonaro. ;0
47;Jogo aberto para para todos.;0
48;Nosso presidente Bolsonaro sendo recebido com o carinho que ele merece! ;0
49;Já tá com a roupa de ir?;0
50;Nosso candidato @Haddad_Fernando firme e forte pro debate na @BandTV;0
51;CIRO FOI DIVULGAR O PRÓPRIO LIVRO E DISSE QUE TEM GENTE JÁ COLOCANDO PRA BAIXAR DE GRAÇA NA INTERNET;0
52;Uma verdade precisa ser dita: o Ciro possui um nível absurdamente muito maior do que todos os outros candidatos. #CiroNoJN;0
53;Presidência da República: veja quem são os 12 candidatos;0
54;É preciso alavancar os candidatos da esquerda nas eleições legislativas. #LulaNoJN;0
55;Boa campanha para o nosso futuro governador @Haddad_Fernando e sempre presidente @LulaOficial;0
56;Vamos reconstruir o PDT em São Paulo e seremos a vanguarda de uma nova geração de trabalhistas.;0
57;" Wolf: ""Há fraude em nosso sistema eleitoral.""";0
58;Vamos fazer tudo para salvar o Rio de Janeiro da ruína.;0
59;Todo nosso apoio a Primeira-Dama!;0
60;" Acosta: ""Você está espalhando dúvidas e medo sobre nosso processo eleitoral.""";0
61;Essa é a importância de votar em candidatos de esquerda #LulanoJornalNacional;0
62;Meus votos até o momento:;1
63;*Aí gente!*;1
64;Governador: Jerônimo ;1
65;Senador: Tâmara Azevedo ;1
66;Deputado Federal: Zé Neto ;1
67;Jutos somos mais fortes. ;1
68;@maravapi;1
69;Vergonha alheia kk;1
70;Deputado Estadual: aceito currículo;1
71;Estamos vivendo um passo a passo clássico de um escândalo no RJ. O governador passou o primeiro degrau - abriu uma comissão de auditoria -: o segundo - demitiu o presidente da Ceperj. Terá que convencer a todos que não sabia dos R$ 226 milhões em espécie. +;1
72;Sua memória será honrada. Seus feitos serão lembrados. Sua história será contada.;1
73;Seu legado será mantido. ;1
74;"O NORDESTE SABE O QUE QUER 

QUER O PRESIDENTE BOLSONARO E A  NOSSA TROPA!!!";1
75;De geração em geração.;1
76;Descanse em paz.;1
77;Procuraremos aproximar ainda mais o STM e a Justiça Militar da sociedade brasileira.;1
78;Alguém avisa o Poste que o Presidente Bolsonaro vetou e o PT votou para aprovar.;1
79;Presidente @JairBolsonaro e Michelle Bolsonaro ovacionados por multidão em Recife!;1
80;@Callas_Brasil;1
81;Tem que sair às ruas no dia 7 de setembro e ficar até o dia das eleições!;1
82;@freu_rodrigues;1
83;@BolsonarosORG;1
84;@BolsonarosMundo;1
85;- E se esses calotes estaduais BILIONÁRIOS que o STF está permitindo que os governadores deem no presidente (União) forem descontados das mordomias do Supremo?;1
86;Estava pensando aqui:;1
87;Terei que votar no Rodrigo França p/ o Governo/SP p/ tentar evitar Tarcísio no 2° Turno.;1
88;Terei que votar no Márcio França p/ o Senado/SP p/ tentar evitar a eleição de Janaína Paschoal.;1
89;Meus únicos votos por admiração serão na Simone Tebet p/ Presidência e no Villa p/ Dep. Fed.;1
90;Esse é o tratamento que o Sérgio Moro está encontrando em Curitiba.;1
