;Texto;Classificação
0;Neymar fazendo live com Bolsonaro pelo fim da corrupção. Dois dias atrás ele estava como réu na Espanha por corrupção empresarial e sonegação de 51 MILHÕES em impostos.;Neutro
1;o que o Neymar tá desesperado se o Lula ganhar descobrir a sonegação dele é sacanagem;Negativo
2;Vendo Tarcisio agora pelo “Flow” e também em outros lugares que já pude assistir, e eu noto o quanto ele é um fiel escudeiro do Presidente Bolsonaro. Inacreditável a fidelidade dele. Uma grande dupla!;Negativo
3;BOLSONARO NÃO CONHECIA SEU VIZINHO QUE MATOU MARIELLE FRANCO;Negativo
4;“Não existe ideologia de gênero, isso é uma mentira do Bolsonaro” Todo mundo deveria saber o que é PNDH3;Negativo
5;Não esquecer que o Lula reduziu impostos para máquina de lavar, tanquinho, geladeira e fogão. Já Bolsonaro reduziu impostos para iate, jet ski, balão e whein protein.;Negativo
6;Gente, minha namorada terminou o Namoro pq sou bolsominions...;Negativo
7;alguém sabe como tirar as propagandas do bolsonaro nos vídeos do meu canal do youtube???? Tem como???;Positivo
8;VERGONHA! Bolsonaro cortou 87% de doação de leite a famílias na miséria no Nordeste e MG. É o primeiro governo em defesa da fome da história!;Neutro
9;Minha filha de 13 anos estava dormindo no meu carro após um show em Belo Horizonte, quando “PINTOU UM CLIMA” na cabeça de um homem que estava na rua achou que isso o autorizava a enfiar a mão no nosso carro e manipular o corpo dela. É isso que a fala do Bolsonaro corrobora.;Negativo
10;O povo já tá sabendo que Bolsonaro cortou 87% de doação de leite para famílias na miséria no Nordeste e em Minas Gerais?;Neutro
11;Avisa lá que Minas virou. Agora é: viramos o trem!!!;Negativo
12;"""Para a mulher brasileira, votar no Lula, é um ato de legitima defesa"" _Marina Silva";Negativo
13;Retratação: Bolsonaro não é pedófilo! Bolsonaro não debochou das vítimas da COVID e nunca matou nem mandou matar ninguém! Bolsonaro não é miliciano. Bolsonaro não é racista nem machista! Bolsonaro não divulga fake News! Bolsonaro nunca fez rachadinha nem é corrupto!;Negativo
14;AGORA: Maioria do plenário do TSE aprova direito de resposta de Lula contra Bolsonaro no horário eleitoral. Petista terá direito a 116 inserções no horário que estava reservado ao atual presidente.;Positivo
15;Baita mimimi esse do Bolsonaro em relação ao Janones. Engraçado um macho imbroxável não aguentar uma crítica. A liberdade de expressão tem dois pesos e duas medidas? Ou é por conta da pedofilia mesmo? Ah, tá, é que não rolou sigilo de 100 anos nesse caso.;Negativo
16;_Juiz de Fora-MG. Quem está colocando a massa na rua é o #Lula. E alguns com derrotismo, perplexos, paralisados. Só o derrotismo pode nos derrotar. Pra cima, minha gente! Nas redes,nas ruas, no bairro, na família, nos amigos e no trabalho,muito voto pra ganhar.E nós vamos vencer!;Positivo
17;Dia 30 (eleição) do 10 (Tarcísio) de 22 é (Bolsonaro) Boa noite!;Positivo
18;"Pensando cá comigo... ""Se só RICO vota em Bolsonaro e Loola tirou todo mundo da POBRESA, então todo mundo vai VOTAR no Bolsonaro""";Neutro
