;Texto;Valor
0;É tudo um escândalo. A sanha do candidato, a naturalidade do lobby dos ministros, a ameaça do ministro de “romper” com presidente (WTF??!) e a ideia de que função pública serve ao interesse pessoal. Na próxima reforma constitucional, magistratura e militares devem estar no foco.;0
1;"""Não tenho medo de perder as eleições numa democracia, tenho medo de perder a democracia numa eleição"". Presidente Jair Bolsonaro.";0
2;José Maria Trindade coloca os pingos nos is, sobre o grau de engajamento, entre Lula e o Presidente Bolsonaro. #BolsonaroReeleitoEm2022;0
3;"TV espanhola enaltecendo o Presidente BOLSONARO; O mundo clama por mais governantes idôneos. Nos os verdadeiros Patriotas valorizamos o nosso! #BolsonaroNoPrimeiroTurno #BolsonaroNoIronberg #BolsonaroNoPanico #BolsonaroReeleitoEm2022 #Bolsonaro2022 #Sdv";0
4;4 meses para o final do ano e temos eleições. Talvez, seja a primeira vez que influenciadores novos irão presenciar vários debates dos candidatos de fato e a opinião de um influencer pode ajudar ou trazer desinformação. Muito cuidado e responsabilidade sobre o alcance.;0
5;"""Espero que a sociedade brasileira aprenda nessas eleições: o congresso é resultado da consciência da sociedade. Não votem com rancor, votem com consciência."" (Lula) #JN";0
6;IMPACTANTE! Presidente da Confederação da Agricultura (CNA) faz discurso forte contra a volta do Lula;0
7;Amanhã o presidente Lula estará no Jornal Nacional. Você irá assistir? #LulaNoJN;0
8;Jair Messias Bolsonaro em Belo Horizonte -  24/08/2022 -  O presidente mais popular da história do Brasil. Forças Armadas Defesa 7 de setembro;0
9;Parece notícia venha, mas ABAIXOU DE NOVO #Brasil #Presidente #Bolsonaro #tmj;0
10;Sem esquecer o abaixo-assinado ano passado pelo impeachment de Alexandre de Moraes teve mais de 2 milhões de assinaturas. A iniciativa foi do comentarista Caio Coppolla. Porém o presidente do Senado, Rodrigo Pacheco (DEM-MG), cagou pra todo mundo!;0
11;É de arrepiar! Esse é o vídeo que o Presidente sempre fala, inclusive citou ele no Flow. Prestem atenção nas palavras dele. Faz tempo que o Bolsonaro se prepara para salvar o Brasil. Valorizem esse homem! Não podemos nos acovardar. Devemos lealdade ao Presidente. (Novembro/2014);0
12; Presidente se emocionou ao falar sobre a doença #BolsonaroNoFlow;0
13;Rica fez uma resenha no canal dele contando sobre a entrevista com o Presidente, peguei essa parte ele dando a opinião sobre a notícia canalha q saiu ontem… https://youtu.be/L5JRu3G4dY0;0
14;#AOVIVO Jair Bolsonaro (PL) responde a pergunta sobre pandemia #JN  Acompanhe a cobertura: http://glo.bo/3PChZtj #JornalNacional #BolsonaroNoJN #Eleições;0
15;O @RicaPerrone lavou nossa alma aqui nesse comentário sobre a Fake News da imprensa contra o presidente @jairbolsonaro .;0
16;Renata Vasconcellos perguntou no início se Jair Bolsonaro se arrepende de ter debochado dos mortos pela Covid. Presidente não respondeu. #Eleições2022;0
