;Texto;Valor
0;Um país, que tem Ciro como candidato, mas está dividido entre Lula e Bolsonaro não pode dar certo nunca. #CiroNoJN;0
1;No primeiro turno irei de Ciro Gomes de novo, sei que, infelizmente, ele não tem chances de chegar ao segundo turno, mas isso não apaga o fato de que ele é o melhor e mais preparado candidato para assumir a presidência desse país. #CiroNoJN;0
2;Candidato do Novo, Felipe D’Ávila, cheou na Band dizendo que o país vive uma crise econômica com investimento em baixa. Taxa de Investimento atual: +19% Antes de nós: +14% Temos um novo Ciro Gomes no laranjal!;0
3;Da ultima vez que os petistas bateram tanto assim em um candidato, ele foi eleito. Continuem!;0
4;Por que tá sinalizando ali que esse candidato é NOVO se eu tô vendo aqui que ele é bem velhinho?;0
5;Zambelli escreveu isso em 23/06/2021, justamente se referindo às eleições deste ano, ou seja, que Ricardo Salles ia ser eleito e eu não. Ela depois apagou este post, mas o print é eterno. A questão é: vamos deixar a dupla Zambelli e Salles ganhar ??;0
6;Noooooo @GugaNoblat você viu como o seu candidato do coração falou do seu paizinho querido?ah eu não deixaria isso barato, que horror!!;0
7;É frustrante saber que somos obrigados a decidir as eleições entre apenas 2 candidatos. Votar no Lula na minha opinião é um retrocesso, porém infelizmente é a única forma de tirar o capiroto do poder, acho que deveríamos dá oportunidade a um novo candidato. Eu iria de Ciro.;0
8;Por que o candidato do Bolsonaro entrou na justiça para censurar este vídeo?;0
9;Não se esqueçam: Te trancaram em casa.  Estabelecimento faliu. Votaram contra os benefícios do povo no Congresso. Foram contra a redução do ICMS do combustível e agora vão apertar a sua mão e te prometer mundos e fundos.. Se liga! Pesquisem seus candidatos. Ñ se venda!;0
