;Texto;Valor
0; DIREITA FORTE E A LIVE DO PRESIDENTE 10 *Excepcionalmente hoje, sobre a entrevista no podcast CARA A TAPA O presidente fez uma revelação muito curiosa sobre o dia da f@c@da, vejam isso #BolsonaroNoPrimeiroTurno #capitaodopovo #CapitaoNoRica;0
1;Mamãe cassei tentando dar lição de moral no PR é uma das coisas mais kafkianas e bizarras da história da internet. Toda postagem do Presidente tá lá o pigmeu tarado da Ucrânia tentando lacrar. Perde emprego, perde namorada, perde tudo, mas não perde o desejo de passar vergonha.;0
2;Áudio do Presidente Lula para a Anitta. Que cara show! ANITTA NO PODDELAS;0
3;"Imagina você ser o presidente da república, topar ir em um ""podcast"" e enquanto você fala colocarem uma tarja dizendo pra audiência pesquisar tudo o que você diz no programa KKKKKKKKKKKKKKKKK  Quem topa subir? MENTIROSO DA REPÚBLICA";0
4;Não esqueçam Jamais da convocação do nosso presidente, dia 7 de setembro ( o novo grito da independência ) a qual o mundo inteiro irar ver !!!!;1
5;E o debate dos candidatos de SP hoje, quem vai assistir? Começa às 21h né?;1
6;Tem que sair às ruas no dia 7 de setembro e ficar até o dia das eleições!;1
7;COMUNICADO OFICIAL No dia 30/07 meu nome foi aprovado pelo PDT-MG, e agora sou oficialmente candidato a Deputado Federal. Para nos ajudar nessa campanha e levar nossa mensagem para mais pessoas, acabamos de lançar a nossa vaquinha virtual e vc pode ajudar a partir de R$10;1
8;“O congresso nacional é o resultado da sua consciência política no dia das eleições”;1
9;TSE nega dados de eleições anteriores às FFAA. Assim é fácil dizer que nunca houve comprovação de fraude, né;1
10;Precisamos ficar ALERTAS às  próximas eleições! NÃO, aos relacionados nesta postagem! Queremos um Congresso DIGNO do Presidente q VAMOS REELEGER! #BolsonaroNoPrimeiroTurno;1
11;O Fluminense está simplesmente mostrando as fragilidades q a gestão n fez questão de consertar:  Contratações descentes e pontuais p/ repor jogadores importantes.  Oportunidade p/ base.  Lateral esquerdo descente. Até o momento mais um vexame! Pense bem nas eleições!;1
12;Não votarei no segundo turno em candidato que se nega ao debate em nome da democracia.;2
13;São Paulo tem o melhor candidato ao governo!;2
14;O Uruguai é o país mais laico das Américas. Mas, laico mesmo! Portanto, nas campanhas eleitorais a religião não tem protagonismo. Nem aparecem candidatos em delírios místicos q acreditam que são enviados divinos, nem surgem candidatos q digam q seus rivais são agentes demoníacos;2
