;Texto;Valor
0;Piperno acusando o Presidente de tentar prejudica-lo na emissora. Mas qual vítima não gostaria de ver o criminoso sendo punido. Fake News é crime!! Jornalista tem imunidade absoluta? https://twitter.com/Jeffers17486732/status/1559321354721173511/video/1…;0
1;o futuro presidente de 2060 está nesse momento decidindo se compensa comrpar aquele pod com 1000 puffs na promo;0
2;Na escalada do JN nenhuma palavra sobre os apartamentos comprados com dinheiro vivo pelo presidente e sua família.;0
3;Parabéns à categoria que todos os dias dedicam suas vidas para salvar outras vidas. Lutamos e aprovamos na Câmara Federal e, hoje, o presidente Bolsonaro sancionou.;0
4;Morei no exterior durante anos mas escolhi voltar ao Brasil. Sabe por que? porque eu amo o meu país! Não existe lugar melhor para viver. Eu escolhi lutar pela minha pátria ao lado do presidente Bolsonaro.;1
5;4 meses para o final do ano e temos eleições. Talvez, seja a primeira vez que influenciadores novos irão presenciar vários debates dos candidatos de fato e a opinião de um influencer pode ajudar ou trazer desinformação. Muito cuidado e responsabilidade sobre o alcance.;1
6;Sem esquecer o abaixo-assinado ano passado pelo impeachment de Alexandre de Moraes teve mais de 2 milhões de assinaturas. A iniciativa foi do comentarista Caio Coppolla. Porém o presidente do Senado, Rodrigo Pacheco (DEM-MG), cagou pra todo mundo!;1
7;Alexandre de Moraes, em discurso ao lado do Presidente Jair Bolsonaro, fala em não admitir discurso de Ódio nas eleições. Ou seja, o discurso é bonito, válido, porém ele só persegue um lado… ao que tudo indica o Ódio do bem tudo bem. E dá indireta no caso do dep. Daniel Silveira;1
8;Ninguém: a Candidatos de PE: “ei doido” “simbora”, “tu tá ligado” “botou quente” *som de passinho ao fundo*;1
9;DIREITA FORTE - O PRESIDENTE FAZ O BEM - 05 A imprensa OMITE e só fala mal do Gov Bolsonaro MAS estamos aqui p divulgar  a VERDADE e o qto nosso Pr é proativo e eficaz tendo como apoio sua equipe Ministerial. BOLSONARO HOMEM QUE FAZ! #DireitaForte #CapitaoDoPovo;1
10;"""Liberdade de expressão não é liberdade de agressão"" - Alexandre Moraes, presidente do Tribunal Superior Eleitoral e ministro do Supremo Tribunal Federal";1
11;A Polícia Federal afirmou ao Supremo Tribunal Federal ter concluído que o presidente Jair Bolsonaro praticou incitação ao crime ao associar, no ano passado, a vacina contra a Covid com risco de contrair Aids: http://glo.bo/3SVBiR3 #JN;1
12;PT retira apoio ao Freixo, força a retirada do Beto Albuquerque no RS e ainda vai operar por baixo dos panos para tirar o Pernambuco do PSB. Eles conseguem destruir os aliados antes da eleição. Incrível!;1
13;É tudo um escândalo. A sanha do candidato, a naturalidade do lobby dos ministros, a ameaça do ministro de “romper” com presidente (WTF??!) e a ideia de que função pública serve ao interesse pessoal. Na próxima reforma constitucional, magistratura e militares devem estar no foco.;1
14;Teremos eleições transparentes, sim. Custe o que custar! #soberanoeopovo;2
